layers,memory,T,mode,seeds,cos_mean,rel_mean,norm_mean,cos_std,rel_std,norm_std
2,1,16,instant,10,0.7472605120299297,0.6456146466448449,0.6388430332065418,0.11790156946581716,0.157700451619338,0.1179749678466242
2,1,16,trace,10,0.9550471025219816,0.2985258079363667,0.9422354359694689,0.02296704694555528,0.07012302463533178,0.0865043257073776
2,1,32,instant,10,0.7092303491579548,0.6974540410736454,0.6272121145742735,0.11604524611531657,0.11598592523315902,0.15795612623537678
2,1,32,trace,10,0.9394872479819121,0.347104440103822,0.9282608160393142,0.03153769701614925,0.09673426418076458,0.13623273988521448
2,1,64,instant,10,0.6714749400599291,0.7354129858303647,0.5845424346987679,0.12011532839341967,0.0999838267532637,0.15127799868754163
2,1,64,trace,10,0.9389729260755457,0.3507518020387431,0.9065389217646915,0.03995765488217538,0.11867245339288889,0.16137678330249994
2,1,128,instant,10,0.6578805701241532,0.7485398238673041,0.567928823358171,0.11786699868398333,0.09534171039221302,0.14574369223166994
2,1,128,trace,10,0.9355374797523007,0.3685518032282552,0.9054712132084534,0.037931555201656954,0.10238265764135748,0.16662267707831885
2,1,256,instant,10,0.6527147918563191,0.7522286607986703,0.5616103530710992,0.12439831412051251,0.09833233608626196,0.14687393229354304
2,1,256,trace,10,0.9325741562910908,0.37777394638499334,0.9032256927722979,0.041411132978821465,0.10589215297238065,0.17058209010762582
4,0,256,instant,10,0.5625250797298245,0.8251783303269367,0.45206777700927175,0.12545049924851645,0.08343998434213513,0.14673497223641763
4,0,256,trace,10,0.824199899919509,0.5547227322012453,0.7301574444111741,0.11871214173365716,0.13419389188186176,0.0988830147624264
4,1,256,instant,10,0.5678273842264614,0.8105849530450537,0.4766884012163525,0.19690228482562994,0.09637538114162407,0.13329439056305759
4,1,256,trace,10,0.7642288615176197,0.5630944096193135,0.8142842382987802,0.2588831578598341,0.21791917760329693,0.16153256507145478
